Type;Modäle;Systäme Exoloitation;Processeur;RAM;Disque Dur;Ecran;Carte Graphique;
Portable;HP Pavilion 15-eh1009nf;Windows 11;AMD Ryzen 5;16 Go RAM;512 Go Disque SSD;"15.6"" FHD";Carte graphique AMD Radeon;
Portable;HP ENVY x360 13-ay0021nf;Windows 11;AMD Ryzen 7;16 Go RAM;512 Go Disque SSD;"13,3"" FHD";Carte graphique AMD Radeon;
Portable;HP 14s-dq2026nf;Windows 11;Intel Core i3;8 Go RAM;256 Go Disque SSD;"14"" HD";Carte graphique Intel UHD;
Portable;HP Pavilion 14-dv0026nf -Argent naturel;Windows 11;Intel Core i3;8 Go RAM;256 Go Disque SSD;"14"" FHD";Carte graphique Intel UHD;
Portable;HP Pavilion 15-eh1017nf ;Windows 10;AMD Ryze 7;16 Go RAM;1 To Disque SSD;"15.6"" FHD";Carte graphique AMD Radeon;
Bureau;HP 260 G4 Desktop Mini 1;Windows 10 Professionnel;Intel Core i3;4 Go RAM;500 Go HDD;"17"" FHD";Carte graphique Intel UHD;
Bureau;HP 260 G4 Desktop Mini 2;Windows 10 Professionnel;Intel Core i3;8 Go RAM;1 To HDD;"21"" FHD";Carte graphique Intel UHD;
Bureau;HP 260 G4 Desktop Mini 3;Windows 10 Professionnel;Intel Core i3;16 Go RAM;1 To HDD;"21"" FHD";Carte graphique Intel UHD;
Bureau;HP EliteDesk 800 G6 1;Windows 10 Pro;Intel Core i5;8 Go RAM;256 Go Disque SSD;"21"" FHD";Carte graphique Intel UHD 630;
Bureau;HP EliteDesk 800 G6 2;Windows 10 Pro;Intel Core i5;16 Go RAM;512 Go Disque SSD;"21"" FHD";Carte graphique Intel UHD 630;
Bureau;HP EliteDesk 400 G6;Windows 10 Pro;Intel Core i3;8 Go RAM;256 Go Disque SSD;"19"" FHD";Carte graphique Intel UHD 630;
